_id,Japanese,English
423,つとめる,"to serve, to work (for)"
424,つまらない,"insignificant, boring"
425,つめたい,cold (to the touch)
426,つよい,"strong, powerful"
427,て,hand
428,テープ,tape
429,テープレコーダー,tape recorder
430,テーブル,table
431,でかける,"to depart, to go out"
432,てがみ,letter
433,できる,to be able to
434,でぐち,exit
435,テスト,test
436,では,with that...
437,デパート,department store
438,でも,"but, however"
439,でる,"to appear, to leave"
440,テレビ,"television, TV"
441,てんき,weather
442,でんき,"electricity, (electric) light"
443,でんしゃ,electric train
444,でんわ,telephone
445,と,door (Japanese style)
446,～ど,counter for occurrences
447,ドア,door (Western style)
448,トイレ,toilet
449,どう,"how, in what way"
450,どうして,"why?, for what reason"
451,どうぞ,"please, kindly, by all means"
452,どうぶつ,animal
453,どうも,"thanks, very"
454,とお,ten
455,とおい,"far, distant"
456,とおか,"ten days, the tenth (day of the month)"
457,～とき,at the time of ～
458,ときどき,sometimes
459,とけい,"watch, clock"
460,どこ,"where, what place"
461,ところ,place
462,とし,"year, age"
463,としょかん,library
464,どちら,"which, which way"
465,どっち,"which one, which way"
466,とても,very
467,どなた,who
468,となり,"next to, next door to"
469,どの,which
470,とぶ,"to fly, to hop"
471,とまる,to come to a halt
472,ともだち,friend
473,どようび,Saturday
474,とり,bird
475,とりにく,chicken meat
476,とる,to take
477,とる,to take (a photo)
478,どれ,which (of three or more)
479,どんな,"what, what kind of"
480,ない,"there isn't, doesn't have"
481,ナイフ,knife
482,なか,"inside, middle, among"
483,ながい,long
484,～ながら,"while ~ing, during, although"
485,なく,"to sing (bird), to make sound (animal)"
486,なくす,to lose something
487,なぜ,why
488,なつ,summer
489,なつやすみ,"summer vacation, summer holiday"
490,～など,et cetera
491,ななつ,seven
492,なん/なに,what
493,なのか,"seven days, the seventh day (of the month)"
494,なまえ,name
495,ならう,to learn
496,ならぶ,"to line up, to stand in a line"
497,ならべる,"to line up, to set up"
498,なる,to become
499,なん～,what sort of ～
500,に,two
501,にぎやか,"bustling, busy"
502,にく,meat
503,にし,west
504,～にち,"～ day of the month, for ～ days"
505,にちようび,Sunday
506,にもつ,luggage
507,ニュース,news
508,にわ,garden
509,～にん,counter for people
510,ぬぐ,to take off clothes
511,ぬるい,lukewarm
512,ネクタイ,"tie, necktie"
513,ねこ,cat
514,ねる,"to go to bed, to sleep"
515,～ねん,～ years
516,ノート,"notebook, exercise book"
517,のぼる,to climb
518,のみもの,"drink, beverage"
519,のむ,to drink
520,のる,"to get on, to ride in, to board"
521,は,tooth
522,パーティー,party
523,はい,yes
524,～はい,counter for cupfuls
525,はいざら,ashtray
526,はいる,"to enter, to contain, to hold"
527,はがき,postcard
528,はく,"to wear, to put on (trousers)"
529,はこ,box
530,はし,bridge
531,はし,chopsticks
532,はじまる,to begin
533,はじめ,"beginning, start"
534,はじめて,for the first time
535,はしる,to run
536,バス,bus
537,バター,butter
538,はたち,"20 years old, 20th year"
539,はたらく,to work
540,はち,eight
541,はつか,"twenty days, twentieth (day of the month)"
542,はな,flower
543,はな,nose
544,はなし,"talk, story"
545,はなす,to speak
546,はは,(one's own) mother
547,はやい,early
548,はやい,"quick, fast"
549,はる,spring
550,はる,"to stick, to paste"
551,はれ,clear weather
552,はれる,to be sunny
553,はん,half
554,ばん,evening
555,～ばん,～st/th best
556,パン,bread
557,ハンカチ,handkerchief
558,ばんごう,number
559,ばんごはん,"dinner, evening meal"
560,はんぶん,half
561,ひがし,east
562,～ひき,counter for small animals
563,ひく,to pull
564,ひく,"to play (piano, guitar)"
565,ひくい,"short, low"
566,ひこうき,"aeroplane, airplane"
567,ひだり,left hand side
568,ひと,"man, person"
569,ひとつ,one
570,ひとつき,one month
571,ひとり,one person
572,ひま,"free time, leisure"
573,ひゃく,"100, hundred"
574,びょういん,hospital
575,びょうき,"illness, disease, sickness"
576,ひらがな,hiragana
577,ひる,"noon, daytime"
578,ひるごはん,"lunch, midday meal"
579,ひろい,"spacious, wide"
580,フィルム,film (roll of)
581,ふうとう,envelope
582,プール,swimming pool
583,フォーク,fork
584,ふく,"to blow (wind, etc)"
585,ふく,clothes
586,ふたつ,two
587,ぶたにく,pork
588,ふたり,two people
589,ふつか,"second day of the month, two days"
590,ふとい,"fat, thick"
591,ふゆ,winter
592,ふる,"to precipitate, to fall (e.g. rain)"
593,ふるい,"old (not person), aged, ancient"
594,ふろ,bath
595,～ふん,～minutes
596,ぶんしょう,"sentence, text"
597,ページ,page
598,へた,"unskillful, poor"
599,ベッド,bed
600,ペット,pet
601,へや,room
602,へん,"area, vicinity"
603,ペン,pen
604,べんきょう ,"study, diligence"
605,べんり,"convenient, handy"
606,ほう,way
607,ぼうし,hat
608,ボールペン,ball-point pen
609,ほか,"other place, the rest"
610,ポケット,pocket
611,ほしい,"want, in need of, desire"
612,ポスト,post
613,ほそい,"thin, slender, fine"
614,ボタン,button
615,ホテル,hotel
616,ほん,book
617,～ほん,counter for long cylindrical things
618,ほんだな,bookshelves
619,ほんとう,"reality, truth"
620,～まい,counter for flat things
621,まいあさ,every morning
622,まいげつ/まいつき,"every month, monthly"
623,まいしゅう,every week
624,まいにち,every day
625,まいねん/まいとし,"every year, annually"
626,まいばん,every night
627,まえ,"before, in front"
628,～まえ,in front of ～
629,まがる,"to turn, to bend"
630,まずい,"unappetising, unpleasant (taste)"
631,また,"again, and"
632,まだ,"yet, still, besides"
633,まち,"town, city"
634,まつ,to wait
635,まっすぐ,"straight (ahead), direct"
636,マッチ,match
637,まど,window
638,まるい,"round, circular"
639,まん,"ten thousand, everything"
640,まんねんひつ,fountain pen
641,みがく,to brush (teeth)
642,みぎ,right hand side
643,みじかい,short
644,みず,water
645,みせ,"store, shop, establishment"
646,みせる,"to show, to display"
647,みち,"road, street"
648,みっか,"three days, the third day (of the month)"
649,みっつ,three
650,みどり,green
651,みなさん,everyone
652,みなみ,"South, proceeding south"
653,みみ,ear
654,みる,"to see, to watch"
655,みんな,"all, everyone, everybody"
656,むいか,"six days, sixth (day of month)"
657,むこう,"beyond, over there"
658,むずかしい,difficult
659,むっつ,six
660,むら,village
661,め,"eye, eyeball"
662,メートル,"metre, meter"
663,めがね,"spectacles, glasses"
664,もう,already
665,もう,again
666,もくようび,Thursday
667,もしもし,hello (on phone)
668,もつ,"(1) to hold, to carry, (2) to possess"
669,もっと,"more, longer, farther"
670,もの,"thing, object"
671,もん,gate
672,もんだい,"problem, question"
673,～や,～ shop
674,やおや,greengrocer
675,やさい,vegetable
676,やさしい,"easy, plain, simple"
677,やすい,"cheap, inexpensive"
678,やすみ,"rest, vacation, holiday"
679,やすむ,"to rest, to have a break, to take a day off"
680,やっつ,eight
681,やま,mountain
682,やる,to do
683,ゆうがた,evening
684,ゆうはん,dinner
685,ゆうびんきょく,post office
686,ゆうべ,last night
687,ゆうめい,famous
688,ゆき,snow
689,ゆっくり・と,"slowly, at ease"
690,ようか,"eight days, the eighth (day of the month)"
691,ようふく,Western-style clothes
692,よく,"frequently, often"
693,よく,"well, skillfully"
694,よこ,"beside, side, width"
695,よっか,"(1) 4th day of month, (2) four days"
696,よっつ,four
697,よぶ,"to call out, to invite"
698,よむ,to read
699,よる,"evening, night"
700,よわい,"weak, feable"
701,らいげつ,next month
702,らいしゅう,next week
703,らいねん,next year
704,ラジオ,radio
705,ラジカセ,radio cassette player
706,りっぱ,"splendid, fine"
707,りゅうがくせい,overseas student
708,りょうしん,"parents, both parents"
709,りょうり,"cooking, cuisine"
710,りょこう,"travel, trip"
711,れい,"zero, nought"
712,れいぞうこ,refrigerator
713,レコード,record
714,レストラン,restaurant
715,れんしゅう,(to) practice
716,ろうか,corridor
717,ろく,six
718,ワイシャツ,"shirt (lit: white shirt), business shirt"
719,わかい,young
720,わかる,to understand
721,わすれる,to forget
722,わたし,"I, myself"
723,わたくし,"I, myself"
724,わたす,"to pass over, to hand over"
725,わたる,"to cross over, to go across"
726,わるい,"bad, inferior"
